# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_all //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_all //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/HT_all
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_all //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_all //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/HT_all
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_all
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{all})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  H_{T}(\text{all})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.9
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_all
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_all
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_all
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	2.130855e-07	1.898553e-08	1.750735e-08
8.000000e+01	1.200000e+02	5.337430e-06	2.509975e-07	2.735675e-07
1.200000e+02	1.600000e+02	2.410122e-05	7.141050e-07	7.193775e-07
1.600000e+02	2.000000e+02	5.599572e-05	1.303750e-06	7.348500e-07
2.000000e+02	2.400000e+02	9.324898e-05	1.355775e-06	6.547250e-07
2.400000e+02	2.800000e+02	1.292996e-04	1.494150e-06	6.322500e-07
2.800000e+02	3.200000e+02	1.542691e-04	0.000000e+00	1.367450e-06
3.200000e+02	3.600000e+02	1.652317e-04	6.260750e-07	1.933925e-06
3.600000e+02	4.000000e+02	1.650503e-04	2.190525e-06	0.000000e+00
4.000000e+02	4.400000e+02	1.560582e-04	2.285625e-06	0.000000e+00
4.400000e+02	4.800000e+02	1.426060e-04	3.733050e-06	2.286000e-07
4.800000e+02	5.200000e+02	1.267947e-04	1.456225e-06	1.079075e-06
5.200000e+02	5.600000e+02	1.099237e-04	0.000000e+00	1.427575e-06
5.600000e+02	6.000000e+02	9.577125e-05	0.000000e+00	1.546300e-06
6.000000e+02	6.400000e+02	8.293873e-05	1.475650e-06	0.000000e+00
6.400000e+02	6.800000e+02	7.023605e-05	3.529000e-07	7.000525e-06
6.800000e+02	7.200000e+02	6.199170e-05	2.545750e-06	0.000000e+00
7.200000e+02	7.600000e+02	5.170848e-05	2.445750e-06	0.000000e+00
7.600000e+02	8.000000e+02	4.410737e-05	2.029125e-06	0.000000e+00
8.000000e+02	8.400000e+02	3.680085e-05	2.758650e-06	0.000000e+00
8.400000e+02	8.800000e+02	3.085850e-05	1.136975e-06	0.000000e+00
8.800000e+02	9.200000e+02	2.727510e-05	1.548475e-06	0.000000e+00
9.200000e+02	9.600000e+02	2.333238e-05	1.200658e-06	2.159050e-07
9.600000e+02	1.000000e+03	1.965293e-05	2.002230e-06	0.000000e+00
1.000000e+03	1.040000e+03	1.624654e-05	0.000000e+00	2.701337e-06
1.040000e+03	1.080000e+03	1.412474e-05	1.045512e-06	0.000000e+00
1.080000e+03	1.120000e+03	1.154588e-05	1.862925e-07	1.962375e-07
1.120000e+03	1.160000e+03	9.974828e-06	9.091200e-07	2.346375e-07
1.160000e+03	1.200000e+03	8.698265e-06	1.040995e-06	0.000000e+00
1.200000e+03	1.240000e+03	7.449272e-06	0.000000e+00	2.767875e-07
1.240000e+03	1.280000e+03	5.824930e-06	1.375775e-07	2.135098e-06
1.280000e+03	1.320000e+03	5.583925e-06	6.217975e-07	2.723750e-08
1.320000e+03	1.360000e+03	5.338760e-06	8.034975e-07	0.000000e+00
1.360000e+03	1.400000e+03	4.139305e-06	1.363480e-06	0.000000e+00
