# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
XLabel=$p_{T,j_1j_2j_3}^{excl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,j_1j_2j_3}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_jjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jjj_pT_excl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.204873e-05	1.112934e-06	1.112934e-06
1.000000e+01	2.000000e+01	2.157434e-04	1.521383e-06	1.521383e-06
2.000000e+01	3.000000e+01	3.515756e-04	5.612444e-06	5.612444e-06
3.000000e+01	4.000000e+01	4.697820e-04	5.249753e-06	5.249753e-06
4.000000e+01	5.000000e+01	5.400064e-04	2.763981e-06	2.763981e-06
5.000000e+01	6.000000e+01	5.906068e-04	5.128279e-06	5.128279e-06
6.000000e+01	7.000000e+01	6.261909e-04	6.980718e-06	6.980718e-06
7.000000e+01	8.000000e+01	6.669499e-04	3.644291e-06	3.644291e-06
8.000000e+01	9.000000e+01	6.811724e-04	3.682179e-06	3.682179e-06
9.000000e+01	1.000000e+02	6.932662e-04	4.835736e-06	4.835736e-06
1.000000e+02	1.100000e+02	6.856095e-04	2.684483e-06	2.684483e-06
1.100000e+02	1.200000e+02	6.678552e-04	5.835510e-06	5.835510e-06
1.200000e+02	1.300000e+02	6.211988e-04	4.300414e-06	4.300414e-06
1.300000e+02	1.400000e+02	5.611740e-04	2.569186e-06	2.569186e-06
1.400000e+02	1.500000e+02	5.092870e-04	3.122684e-06	3.122684e-06
1.500000e+02	1.600000e+02	4.422681e-04	5.414070e-06	5.414070e-06
1.600000e+02	1.700000e+02	3.799326e-04	2.651091e-06	2.651091e-06
1.700000e+02	1.800000e+02	3.229626e-04	2.896825e-06	2.896825e-06
1.800000e+02	1.900000e+02	2.738199e-04	2.022594e-06	2.022594e-06
1.900000e+02	2.000000e+02	2.196263e-04	1.101791e-05	1.101791e-05
2.000000e+02	2.100000e+02	1.953946e-04	1.872410e-06	1.872410e-06
2.100000e+02	2.200000e+02	1.644119e-04	1.869980e-06	1.869980e-06
2.200000e+02	2.300000e+02	1.368785e-04	2.552033e-06	2.552033e-06
2.300000e+02	2.400000e+02	1.138295e-04	1.688292e-06	1.688292e-06
2.400000e+02	2.500000e+02	9.831452e-05	2.436410e-06	2.436410e-06
2.500000e+02	2.600000e+02	8.144056e-05	1.752491e-06	1.752491e-06
2.600000e+02	2.700000e+02	6.902705e-05	7.940434e-07	7.940434e-07
2.700000e+02	2.800000e+02	5.476533e-05	1.498229e-06	1.498229e-06
2.800000e+02	2.900000e+02	4.652865e-05	1.283284e-06	1.283284e-06
2.900000e+02	3.000000e+02	4.125493e-05	1.071712e-06	1.071712e-06
3.000000e+02	3.100000e+02	3.385324e-05	1.377670e-06	1.377670e-06
3.100000e+02	3.200000e+02	3.253269e-05	2.704604e-06	2.704604e-06
3.200000e+02	3.300000e+02	2.454878e-05	1.712395e-06	1.712395e-06
3.300000e+02	3.400000e+02	2.096984e-05	5.085194e-07	5.085194e-07
3.400000e+02	3.500000e+02	1.757190e-05	6.414256e-07	6.414256e-07
3.500000e+02	3.600000e+02	1.616349e-05	1.449868e-06	1.449868e-06
3.600000e+02	3.700000e+02	1.284028e-05	9.224416e-07	9.224416e-07
3.700000e+02	3.800000e+02	1.153346e-05	3.525236e-07	3.525236e-07
3.800000e+02	3.900000e+02	8.266210e-06	1.502953e-06	1.502953e-06
