# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jj_sep //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_jj_sep //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jj_sep //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jj_sep //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_jj_sep //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jj_sep //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
Title=h(2*,3*,4)
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_jj_sep
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	7.906455e-02	6.455167e-04	6.455167e-04
2.000000e-01	4.000000e-01	5.099320e-02	1.426263e-04	1.426263e-04
4.000000e-01	6.000000e-01	7.545315e-02	2.542626e-04	2.542626e-04
6.000000e-01	8.000000e-01	1.071565e-01	3.164423e-04	3.164423e-04
8.000000e-01	1.000000e+00	1.463760e-01	4.515518e-04	4.515518e-04
1.000000e+00	1.200000e+00	1.912613e-01	3.111293e-04	3.111293e-04
1.200000e+00	1.400000e+00	2.415661e-01	3.816122e-04	3.816122e-04
1.400000e+00	1.600000e+00	2.946483e-01	5.237834e-04	5.237834e-04
1.600000e+00	1.800000e+00	3.467733e-01	4.765317e-04	4.765317e-04
1.800000e+00	2.000000e+00	3.955113e-01	5.326103e-04	5.326103e-04
2.000000e+00	2.200000e+00	4.383668e-01	7.715436e-04	7.715436e-04
2.200000e+00	2.400000e+00	4.493960e-01	6.174208e-04	6.174208e-04
2.400000e+00	2.600000e+00	3.858356e-01	8.853635e-04	8.853635e-04
2.600000e+00	2.800000e+00	3.050900e-01	4.385236e-04	4.385236e-04
2.800000e+00	3.000000e+00	2.211864e-01	4.004225e-04	4.004225e-04
3.000000e+00	3.200000e+00	1.479745e-01	1.778296e-04	1.778296e-04
3.200000e+00	3.400000e+00	9.148990e-02	1.920435e-04	1.920435e-04
3.400000e+00	3.600000e+00	5.158030e-02	7.604923e-05	7.604923e-05
3.600000e+00	3.800000e+00	2.586169e-02	4.601664e-05	4.601664e-05
3.800000e+00	4.000000e+00	1.089450e-02	2.775226e-05	2.775226e-05
4.000000e+00	4.200000e+00	3.527370e-03	1.746532e-05	1.746532e-05
4.200000e+00	4.400000e+00	6.502195e-04	5.696874e-06	5.696874e-06
4.400000e+00	4.600000e+00	1.729163e-05	6.022780e-07	6.022780e-07
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_jj_sep
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.497000e-02	2.882097e-04	2.882097e-04
2.000000e-01	4.000000e-01	2.153094e-02	3.054324e-04	3.054324e-04
4.000000e-01	6.000000e-01	2.759256e-02	2.027975e-04	2.027975e-04
6.000000e-01	8.000000e-01	3.438676e-02	3.897149e-04	3.897149e-04
8.000000e-01	1.000000e+00	4.117824e-02	4.895144e-04	4.895144e-04
1.000000e+00	1.200000e+00	4.963766e-02	5.734701e-04	5.734701e-04
1.200000e+00	1.400000e+00	5.618040e-02	5.196576e-04	5.196576e-04
1.400000e+00	1.600000e+00	6.439135e-02	3.710028e-04	3.710028e-04
1.600000e+00	1.800000e+00	7.150625e-02	3.993937e-04	3.993937e-04
1.800000e+00	2.000000e+00	7.728330e-02	4.709270e-04	4.709270e-04
2.000000e+00	2.200000e+00	8.189215e-02	3.673399e-04	3.673399e-04
2.200000e+00	2.400000e+00	7.599230e-02	3.614954e-04	3.614954e-04
2.400000e+00	2.600000e+00	5.055345e-02	2.784764e-04	2.784764e-04
2.600000e+00	2.800000e+00	3.052985e-02	2.889960e-04	2.889960e-04
2.800000e+00	3.000000e+00	1.786426e-02	8.530188e-05	8.530188e-05
3.000000e+00	3.200000e+00	9.471545e-03	5.226784e-05	5.226784e-05
3.200000e+00	3.400000e+00	4.660965e-03	2.977991e-05	2.977991e-05
3.400000e+00	3.600000e+00	2.045052e-03	1.355488e-05	1.355488e-05
3.600000e+00	3.800000e+00	7.904850e-04	7.385484e-06	7.385484e-06
3.800000e+00	4.000000e+00	2.484334e-04	4.203278e-06	4.203278e-06
4.000000e+00	4.200000e+00	6.306350e-05	2.463594e-06	2.463594e-06
4.200000e+00	4.400000e+00	8.252165e-06	2.052703e-07	2.052703e-07
4.400000e+00	4.600000e+00	1.546616e-07	1.756461e-08	1.756461e-08
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	5.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.200000e+00	5.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.400000e+00	5.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.600000e+00	5.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.800000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
