# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
XLabel=$y_{j_4}^{incl}$ 
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  y_{j_4}^{incl}$ (pb)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet4_y_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	3.156689e-04	2.594557e-05	2.594557e-05
-4.400000e+00	-4.200000e+00	7.832720e-04	1.976298e-05	1.976298e-05
-4.200000e+00	-4.000000e+00	1.204590e-03	7.566503e-05	7.566503e-05
-4.000000e+00	-3.800000e+00	1.477409e-03	3.141744e-05	3.141744e-05
-3.800000e+00	-3.600000e+00	1.873248e-03	4.291222e-05	4.291222e-05
-3.600000e+00	-3.400000e+00	2.197436e-03	4.205142e-05	4.205142e-05
-3.400000e+00	-3.200000e+00	2.540222e-03	5.584443e-05	5.584443e-05
-3.200000e+00	-3.000000e+00	2.737914e-03	4.831272e-05	4.831272e-05
-3.000000e+00	-2.800000e+00	2.775443e-03	1.204633e-04	1.204633e-04
-2.800000e+00	-2.600000e+00	2.950211e-03	6.894200e-05	6.894200e-05
-2.600000e+00	-2.400000e+00	2.872581e-03	4.291093e-05	4.291093e-05
-2.400000e+00	-2.200000e+00	2.753409e-03	7.420352e-05	7.420352e-05
-2.200000e+00	-2.000000e+00	2.575503e-03	4.874025e-05	4.874025e-05
-2.000000e+00	-1.800000e+00	2.230232e-03	4.938001e-05	4.938001e-05
-1.800000e+00	-1.600000e+00	2.119329e-03	5.088735e-05	5.088735e-05
-1.600000e+00	-1.400000e+00	1.852858e-03	3.149450e-05	3.149450e-05
-1.400000e+00	-1.200000e+00	1.714107e-03	2.088450e-04	2.088450e-04
-1.200000e+00	-1.000000e+00	1.625392e-03	1.805957e-04	1.805957e-04
-1.000000e+00	-8.000000e-01	1.234156e-03	4.562790e-05	4.562790e-05
-8.000000e-01	-6.000000e-01	1.048709e-03	4.384206e-05	4.384206e-05
-6.000000e-01	-4.000000e-01	7.691295e-04	6.365980e-05	6.365980e-05
-4.000000e-01	-2.000000e-01	8.432945e-04	2.156938e-05	2.156938e-05
-2.000000e-01	0.000000e+00	2.682830e-04	5.267587e-04	5.267587e-04
0.000000e+00	2.000000e-01	7.576620e-04	2.540771e-05	2.540771e-05
2.000000e-01	4.000000e-01	8.251465e-04	2.405115e-05	2.405115e-05
4.000000e-01	6.000000e-01	8.311015e-04	8.367639e-05	8.367639e-05
6.000000e-01	8.000000e-01	9.979090e-04	2.777902e-05	2.777902e-05
8.000000e-01	1.000000e+00	1.153474e-03	3.029733e-05	3.029733e-05
1.000000e+00	1.200000e+00	1.442449e-03	1.033268e-04	1.033268e-04
1.200000e+00	1.400000e+00	1.532899e-03	3.393616e-05	3.393616e-05
1.400000e+00	1.600000e+00	1.768497e-03	3.084748e-05	3.084748e-05
1.600000e+00	1.800000e+00	2.137703e-03	5.891341e-05	5.891341e-05
1.800000e+00	2.000000e+00	2.255931e-03	4.714565e-05	4.714565e-05
2.000000e+00	2.200000e+00	2.413921e-03	5.824036e-05	5.824036e-05
2.200000e+00	2.400000e+00	2.588714e-03	6.142056e-05	6.142056e-05
2.400000e+00	2.600000e+00	2.819378e-03	5.621074e-05	5.621074e-05
2.600000e+00	2.800000e+00	2.777060e-03	1.790526e-04	1.790526e-04
2.800000e+00	3.000000e+00	2.723077e-03	6.128844e-05	6.128844e-05
3.000000e+00	3.200000e+00	2.753238e-03	4.851351e-05	4.851351e-05
3.200000e+00	3.400000e+00	2.499706e-03	4.129081e-05	4.129081e-05
3.400000e+00	3.600000e+00	2.297989e-03	6.404934e-05	6.404934e-05
3.600000e+00	3.800000e+00	1.885639e-03	4.292160e-05	4.292160e-05
3.800000e+00	4.000000e+00	1.446259e-03	3.310178e-05	3.310178e-05
4.000000e+00	4.200000e+00	1.099149e-03	3.027809e-05	3.027809e-05
4.200000e+00	4.400000e+00	7.324510e-04	2.395451e-05	2.395451e-05
4.400000e+00	4.600000e+00	3.088653e-04	1.453814e-05	1.453814e-05
4.600000e+00	4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.800000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_y_incl
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.800000e+00	-4.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.600000e+00	-4.400000e+00	1.576331e-04	6.800342e-06	6.800342e-06
-4.400000e+00	-4.200000e+00	5.206695e-04	9.756695e-05	9.756695e-05
-4.200000e+00	-4.000000e+00	9.172240e-04	2.454686e-04	2.454686e-04
-4.000000e+00	-3.800000e+00	6.768435e-04	2.263979e-04	2.263979e-04
-3.800000e+00	-3.600000e+00	1.177340e-03	3.475596e-05	3.475596e-05
-3.600000e+00	-3.400000e+00	1.543536e-03	5.834149e-05	5.834149e-05
-3.400000e+00	-3.200000e+00	1.807002e-03	7.485015e-05	7.485015e-05
-3.200000e+00	-3.000000e+00	1.940684e-03	9.860442e-05	9.860442e-05
-3.000000e+00	-2.800000e+00	2.183642e-03	5.877995e-05	5.877995e-05
-2.800000e+00	-2.600000e+00	2.561685e-03	2.290909e-04	2.290909e-04
-2.600000e+00	-2.400000e+00	2.535572e-03	9.376075e-05	9.376075e-05
-2.400000e+00	-2.200000e+00	2.456478e-03	5.954345e-05	5.954345e-05
-2.200000e+00	-2.000000e+00	2.684297e-03	4.806763e-04	4.806763e-04
-2.000000e+00	-1.800000e+00	2.330537e-03	1.865374e-04	1.865374e-04
-1.800000e+00	-1.600000e+00	1.649650e-03	9.227402e-05	9.227402e-05
-1.600000e+00	-1.400000e+00	1.494300e-03	3.818631e-05	3.818631e-05
-1.400000e+00	-1.200000e+00	1.284587e-03	9.614444e-05	9.614444e-05
-1.200000e+00	-1.000000e+00	1.070818e-03	4.603117e-05	4.603117e-05
-1.000000e+00	-8.000000e-01	1.036175e-03	4.862793e-05	4.862793e-05
-8.000000e-01	-6.000000e-01	8.876990e-04	3.286945e-05	3.286945e-05
-6.000000e-01	-4.000000e-01	8.158085e-04	1.268026e-04	1.268026e-04
-4.000000e-01	-2.000000e-01	7.092245e-04	3.765453e-05	3.765453e-05
-2.000000e-01	0.000000e+00	6.509705e-04	2.908378e-05	2.908378e-05
0.000000e+00	2.000000e-01	6.810470e-04	4.097284e-05	4.097284e-05
2.000000e-01	4.000000e-01	7.961240e-04	1.034991e-04	1.034991e-04
4.000000e-01	6.000000e-01	7.876905e-04	4.090398e-05	4.090398e-05
6.000000e-01	8.000000e-01	8.131705e-04	2.684038e-05	2.684038e-05
8.000000e-01	1.000000e+00	7.267495e-04	1.210857e-04	1.210857e-04
1.000000e+00	1.200000e+00	1.090459e-03	3.522288e-05	3.522288e-05
1.200000e+00	1.400000e+00	1.201795e-03	6.557873e-05	6.557873e-05
1.400000e+00	1.600000e+00	1.572814e-03	7.831665e-05	7.831665e-05
1.600000e+00	1.800000e+00	1.797908e-03	8.164799e-05	8.164799e-05
1.800000e+00	2.000000e+00	1.773350e-03	5.239198e-05	5.239198e-05
2.000000e+00	2.200000e+00	2.183033e-03	8.484057e-05	8.484057e-05
2.200000e+00	2.400000e+00	2.142943e-03	1.031919e-04	1.031919e-04
2.400000e+00	2.600000e+00	2.346508e-03	6.319229e-05	6.319229e-05
2.600000e+00	2.800000e+00	2.165540e-03	7.049105e-05	7.049105e-05
2.800000e+00	3.000000e+00	2.278272e-03	2.013967e-04	2.013967e-04
3.000000e+00	3.200000e+00	1.877336e-03	5.191406e-05	5.191406e-05
3.200000e+00	3.400000e+00	1.705253e-03	5.368475e-05	5.368475e-05
