# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.6
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
XLabel=$m_{j_2j_3}$ (GeV)
LegendAlign=r
XMax=1000.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_2j_3}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.6
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/j2j3_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/j2j3_mass
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	5.348345e-04	1.664170e-06	1.664170e-06
4.000000e+01	8.000000e+01	5.944480e-04	3.479318e-06	3.479318e-06
8.000000e+01	1.200000e+02	2.728565e-04	3.066444e-06	3.066444e-06
1.200000e+02	1.600000e+02	1.003868e-04	1.548066e-06	1.548066e-06
1.600000e+02	2.000000e+02	4.328785e-05	7.280647e-07	7.280647e-07
2.000000e+02	2.400000e+02	3.039032e-05	4.056801e-07	4.056801e-07
2.400000e+02	2.800000e+02	2.953410e-05	3.855624e-07	3.855624e-07
2.800000e+02	3.200000e+02	3.499547e-05	6.755196e-07	6.755196e-07
3.200000e+02	3.600000e+02	4.155738e-05	8.522379e-07	8.522379e-07
3.600000e+02	4.000000e+02	4.788705e-05	4.368588e-07	4.368588e-07
4.000000e+02	4.400000e+02	5.242035e-05	1.052851e-06	1.052851e-06
4.400000e+02	4.800000e+02	5.764497e-05	7.449976e-07	7.449976e-07
4.800000e+02	5.200000e+02	6.212690e-05	4.330055e-07	4.330055e-07
5.200000e+02	5.600000e+02	6.414528e-05	6.564151e-07	6.564151e-07
5.600000e+02	6.000000e+02	6.562680e-05	8.149544e-07	8.149544e-07
6.000000e+02	6.400000e+02	6.362285e-05	5.130041e-07	5.130041e-07
6.400000e+02	6.800000e+02	6.327463e-05	4.823192e-07	4.823192e-07
6.800000e+02	7.200000e+02	6.208330e-05	7.300490e-07	7.300490e-07
7.200000e+02	7.600000e+02	5.868670e-05	4.484544e-07	4.484544e-07
7.600000e+02	8.000000e+02	5.555058e-05	4.804801e-07	4.804801e-07
8.000000e+02	8.400000e+02	5.356052e-05	5.912517e-07	5.912517e-07
8.400000e+02	8.800000e+02	5.146210e-05	6.548692e-07	6.548692e-07
8.800000e+02	9.200000e+02	4.685455e-05	5.480472e-07	5.480472e-07
9.200000e+02	9.600000e+02	4.493345e-05	5.183541e-07	5.183541e-07
9.600000e+02	1.000000e+03	4.304247e-05	9.119550e-07	9.119550e-07
1.000000e+03	1.040000e+03	3.834557e-05	8.901738e-07	8.901738e-07
1.040000e+03	1.080000e+03	3.707605e-05	7.121457e-07	7.121457e-07
1.080000e+03	1.120000e+03	3.426273e-05	5.750823e-07	5.750823e-07
1.120000e+03	1.160000e+03	3.098473e-05	3.921095e-07	3.921095e-07
1.160000e+03	1.200000e+03	2.978370e-05	3.706885e-07	3.706885e-07
1.200000e+03	1.240000e+03	2.694343e-05	4.366725e-07	4.366725e-07
1.240000e+03	1.280000e+03	2.471564e-05	1.761121e-06	1.761121e-06
