# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl
RatioPlot=1
LogY=1
RatioPlotYMax=2.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl
XLabel=$p_{T,hj_1}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/Hj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hj_pT_incl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	1.889265e-05	1.199880e-06	1.944390e-06
1.000000e+01	2.000000e+01	6.695726e-05	4.354930e-06	8.953780e-06
2.000000e+01	3.000000e+01	1.715713e-04	1.637000e-06	5.615300e-06
3.000000e+01	4.000000e+01	3.656301e-04	1.645790e-05	4.795600e-06
4.000000e+01	5.000000e+01	5.435341e-04	1.549830e-05	1.272990e-05
5.000000e+01	6.000000e+01	6.687147e-04	1.940350e-05	3.555700e-06
6.000000e+01	7.000000e+01	7.305430e-04	9.582500e-06	0.000000e+00
7.000000e+01	8.000000e+01	7.181603e-04	0.000000e+00	5.161800e-06
8.000000e+01	9.000000e+01	6.799225e-04	1.670000e-06	2.177000e-07
9.000000e+01	1.000000e+02	6.196629e-04	1.149190e-05	9.982800e-06
1.000000e+02	1.100000e+02	5.464881e-04	1.732030e-05	0.000000e+00
1.100000e+02	1.200000e+02	4.636577e-04	9.412500e-06	4.860000e-06
1.200000e+02	1.300000e+02	4.011775e-04	6.627000e-06	0.000000e+00
1.300000e+02	1.400000e+02	3.358123e-04	9.827000e-06	0.000000e+00
1.400000e+02	1.500000e+02	2.800702e-04	4.327300e-06	1.716100e-06
1.500000e+02	1.600000e+02	2.323612e-04	5.230800e-06	9.136000e-06
1.600000e+02	1.700000e+02	1.926662e-04	5.362200e-06	0.000000e+00
1.700000e+02	1.800000e+02	1.591363e-04	5.777300e-06	5.155600e-06
1.800000e+02	1.900000e+02	1.285662e-04	2.027900e-06	8.800800e-06
1.900000e+02	2.000000e+02	1.091061e-04	8.248600e-06	0.000000e+00
2.000000e+02	2.100000e+02	9.007902e-05	5.458700e-06	0.000000e+00
2.100000e+02	2.200000e+02	7.313789e-05	1.459080e-06	6.307030e-06
2.200000e+02	2.300000e+02	5.860301e-05	2.110810e-06	0.000000e+00
2.300000e+02	2.400000e+02	5.069652e-05	5.627290e-06	1.613900e-07
2.400000e+02	2.500000e+02	4.077915e-05	1.570750e-06	3.440960e-06
2.500000e+02	2.600000e+02	3.494723e-05	1.566890e-06	0.000000e+00
2.600000e+02	2.700000e+02	2.910678e-05	2.890120e-06	3.173140e-05
2.700000e+02	2.800000e+02	2.305004e-05	1.476880e-06	0.000000e+00
2.800000e+02	2.900000e+02	1.859224e-05	4.688000e-07	9.833000e-08
2.900000e+02	3.000000e+02	1.604589e-05	1.494630e-06	0.000000e+00
